Date,Price,Open,High,Low,Vol.(M),Change %
15-Aug-13,74.41,74.46,75.08,74.03,13.22,-2.60%
16-Aug-13,74.11,74.12,74.5,73.7,7.25,-0.40%
19-Aug-13,73.58,73.88,73.93,73.21,5.36,-0.72%
20-Aug-13,73.23,73.55,73.62,73.2,6.66,-0.48%
21-Aug-13,73.55,73.16,74.13,72.93,8.08,0.44%
22-Aug-13,73.46,73.81,74.03,73.24,3.95,-0.12%
23-Aug-13,73.44,73.65,73.75,73.03,5.48,-0.03%
26-Aug-13,73.03,73.64,73.75,73.03,5.36,-0.56%
27-Aug-13,72.86,72.68,73.11,72.51,5.79,-0.23%
28-Aug-13,72.38,72.66,72.86,72.27,5.61,-0.66%
29-Aug-13,72.43,72.35,72.88,72.23,4.09,0.07%
30-Aug-13,72.98,72.64,73.07,72.58,6.07,0.76%
03-Sep-13,72.68,73.48,73.58,72.54,7.16,-0.41%
04-Sep-13,72.91,72.7,73.12,72.45,4.67,0.32%
05-Sep-13,72.67,72.84,73.48,72.62,4.68,-0.33%
06-Sep-13,72.59,72.7,73.16,72.19,5.79,-0.11%
09-Sep-13,73.51,72.85,73.65,72.7,5.53,1.27%
10-Sep-13,73.96,73.66,74.21,73.57,6.85,0.61%
11-Sep-13,74.05,74,74.24,73.66,5.34,0.12%
12-Sep-13,73.91,74.18,74.52,73.77,5.26,-0.19%
13-Sep-13,74.36,74.13,74.4,73.98,4.02,0.61%
16-Sep-13,74.78,74.9,75.19,74.69,4.21,0.56%
17-Sep-13,75.15,74.84,75.47,74.79,4.29,0.49%
18-Sep-13,76.42,75.16,76.53,74.9,6.92,1.69%
19-Sep-13,76.21,76.5,76.53,75.62,7.11,-0.27%
20-Sep-13,75.83,76.32,76.45,75.83,8.86,-0.50%
23-Sep-13,76.42,75.39,76.43,75.2,5.60,0.78%
24-Sep-13,75.75,76.4,76.73,75.69,6.87,-0.88%
25-Sep-13,74.65,75.91,75.94,73.56,15.00,-1.45%
26-Sep-13,74.62,74.78,74.98,74.22,5.08,-0.04%
27-Sep-13,74.36,74.38,74.46,74.07,4.22,-0.35%
30-Sep-13,73.96,74.28,74.6,73.74,6.75,-0.54%
01-Oct-13,73.59,73.87,73.89,73.32,5.68,-0.50%
02-Oct-13,73.72,73.39,73.72,73.04,7.38,0.18%
03-Oct-13,73.16,73.53,73.53,72.95,7.18,-0.76%
04-Oct-13,72.8,73.01,73.38,72.79,5.75,-0.49%
07-Oct-13,71.87,72.42,72.42,71.51,6.89,-1.28%
08-Oct-13,72.9,71.85,73.19,71.8,9.22,1.43%
09-Oct-13,73,72.83,73.34,72.57,6.47,0.14%
10-Oct-13,74.79,73.48,74.87,73.27,7.68,2.45%
11-Oct-13,74.82,74.61,74.83,73.83,6.53,0.04%
14-Oct-13,74.68,74.34,74.71,73.75,5.90,-0.19%
15-Oct-13,74.37,74.43,75.37,73.99,8.99,-0.42%
16-Oct-13,75.6,74.81,75.62,74.57,5.91,1.65%
17-Oct-13,75.78,75.49,76.12,71.69,6.40,0.24%
18-Oct-13,75.71,75.8,75.93,75.48,6.79,-0.09%
21-Oct-13,75.15,75.72,75.82,74.82,5.36,-0.74%
22-Oct-13,76.32,75.43,76.49,75.21,6.95,1.56%
23-Oct-13,75.9,76.18,76.35,75.81,5.87,-0.55%
24-Oct-13,76.42,76.03,76.51,75.82,5.86,0.69%
25-Oct-13,76.08,76.37,76.76,75.78,6.46,-0.44%
28-Oct-13,77.14,76.16,77.21,76.05,7.03,1.39%
29-Oct-13,77.06,77.25,77.63,76.75,7.44,-0.10%
30-Oct-13,76.91,77.27,77.53,76.56,4.65,-0.19%
31-Oct-13,76.75,76.88,77.15,76.6,4.61,-0.21%
01-Nov-13,77.07,76.97,77.4,76.59,5.12,0.42%
04-Nov-13,77.33,77.22,77.65,77.2,4.70,0.34%
05-Nov-13,77.42,76.81,77.61,76.72,5.09,0.12%
06-Nov-13,78.16,77.64,78.28,77.3,4.83,0.96%
07-Nov-13,77.51,78.19,78.22,77.24,8.35,-0.83%
08-Nov-13,77.96,77.49,77.96,76.79,5.79,0.58%
11-Nov-13,79.01,77.86,79.07,77.79,7.45,1.35%
12-Nov-13,78.71,78.85,78.97,78.25,5.27,-0.38%
13-Nov-13,78.9,78.42,78.99,78.35,8.29,0.24%
14-Nov-13,79.08,77.75,79.53,77.68,9.31,0.23%
15-Nov-13,79.22,78.93,79.29,78.75,5.92,0.18%
18-Nov-13,79.22,79.23,79.32,78.91,5.96,0.00%
19-Nov-13,79.25,79.3,79.35,78.88,4.46,0.04%
20-Nov-13,78.9,79.31,79.39,78.49,4.51,-0.44%
21-Nov-13,78.86,78.74,79.2,78.55,3.84,-0.05%
22-Nov-13,79.81,78.87,79.87,78.75,4.82,1.20%
25-Nov-13,80.43,80.06,80.57,79.91,5.67,0.78%
26-Nov-13,80.68,80.44,80.68,80.11,5.54,0.31%
27-Nov-13,80.93,80.55,81,80.38,4.81,0.31%
29-Nov-13,81.01,81.17,81.35,80.82,3.45,0.10%
02-Dec-13,81.11,80.89,81.28,80.37,6.18,0.12%
03-Dec-13,81.21,81.21,81.33,80.7,7.51,0.12%
04-Dec-13,80.22,80.64,81.37,79.91,7.64,-1.22%
05-Dec-13,79.44,79.72,79.77,78.87,6.45,-0.97%
06-Dec-13,79.94,79.71,80.23,79.64,5.09,0.63%
09-Dec-13,79.95,80.24,80.43,79.7,4.49,0.01%
10-Dec-13,79.08,79.72,79.8,79.05,6.29,-1.09%
11-Dec-13,79.09,79.1,79.72,79.05,6.00,0.01%
12-Dec-13,78.5,79.11,79.26,78.4,5.69,-0.75%
13-Dec-13,78.08,78.73,78.77,77.93,4.99,-0.54%
16-Dec-13,77.74,78.25,78.5,77.6,6.15,-0.44%
17-Dec-13,77.25,77.74,77.89,77.22,5.77,-0.63%
18-Dec-13,77.94,77.28,77.98,76.81,10.63,0.89%
19-Dec-13,77.24,77.67,77.83,77.2,5.96,-0.90%
20-Dec-13,77.43,77.28,77.88,77.25,9.57,0.25%
23-Dec-13,77.87,77.73,77.99,77.37,4.49,0.57%
24-Dec-13,78.01,77.95,78.24,77.63,2.09,0.18%
26-Dec-13,78.39,78.06,78.52,77.97,2.78,0.49%
27-Dec-13,78.47,78.6,78.93,78.3,3.05,0.10%
30-Dec-13,78.63,78.61,78.88,78.43,3.09,0.20%
